order_no,status,datetime,outlet,service_type,service_number,sale_date,shift,terminal,placed_by,closed_by,table_info,items,discount_type,discount_amount,total
016760,Completed,14-06-2026 09:54:14 PM,Default Outlet,Dine-in,# 12,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,"Two Flavour Mixed (qty: 1) + Medium (৳300.00) | Classic Meatball Pizza (qty: 1) + 12"" (৳665.00) | Fresh Water (qty: 1) | Soft Drinks (qty: 5)",Staff Discount,300.00,810.00
016759,Completed,14-06-2026 09:50:57 PM,Default Outlet,Dine-in,# 11,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,BBQ Chicken (qty: 1) + Small (৳199.00) | Naga Spicy Chicken (qty: 1) + Small (৳200.00) | Soft Drinks (qty: 1),,,424.00
016758,Completed,14-06-2026 09:19:59 PM,Default Outlet,Dine-in,# 10,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Pizza Italian (qty: 1) + Large (৳425.00) | Soft Drinks (qty: 2) | Chocolate Cold Coffee (qty: 2),,,635.00
016757,Completed,14-06-2026 08:59:15 PM,Default Outlet,Delivery,# 9,14-06-2026,Default Shift,Default Terminal,Admin,Admin,,Cheesy Rice Bowl (qty: 2) | BBQ Rice Bowl (qty: 1),Staff Discount,60.00,300.00
016756,Completed,14-06-2026 08:59:07 PM,Default Outlet,Delivery,# 8,14-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Rice Bowl (qty: 3) | Lolipop Rice Bowl (qty: 1),Staff Discount,80.00,400.00
016755,Completed,14-06-2026 07:43:26 PM,Default Outlet,Delivery,# 7,14-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ &amp; Sausage Combo Offer 12” (qty: 1) + Small (৳199.00) | BBQ Chicken (qty: 2),,,"1,168.00"
016754,Completed,14-06-2026 06:45:48 PM,Default Outlet,Delivery,# 6,14-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ &amp; Sausage Combo Offer 12” (qty: 1),,,770.00
016753,Completed,14-06-2026 05:14:06 PM,Default Outlet,Dine-in,# 5,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 4,Chicken Sausage (qty: 1) + Small (৳189.00),,,189.00
016752,Deleted,14-06-2026 03:17:58 PM,Default Outlet,Dine-in,# 15,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 7,Chicken Sausage (qty: 1) + Large (৳389.00),,,389.00
016751,Completed,14-06-2026 02:23:13 PM,Default Outlet,Dine-in,# 2,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 4,Delicious Pepperoni (qty: 1) + Medium (৳309.00),,,309.00
