order_no,status,datetime,outlet,service_type,service_number,sale_date,shift,terminal,placed_by,closed_by,table_info,items,discount_type,discount_amount,total
016768,Completed,15-06-2026 10:58:08 PM,Default Outlet,Delivery,# 19,15-06-2026,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Medium (৳300.00),,,300.00
016767,Deleted,15-06-2026 10:41:59 PM,Default Outlet,Dine-in,# 15,15-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,White Sauce Pasta (qty: 1) | Chicken Pop (qty: 1) | Chocolate Cold Coffee (qty: 1) | Soft Drinks (qty: 1),,,455.00
016766,Completed,15-06-2026 10:22:40 PM,Default Outlet,Dine-in,# 17,15-06-2026,Default Shift,Default Terminal,Admin,Admin,,Chicken Pop (qty: 1) | Soft Drinks (qty: 1) | Chocolate Cold Coffee (qty: 1) | White Sauce Pasta (qty: 1),,,455.00
016765,Completed,15-06-2026 09:32:03 PM,Default Outlet,Dine-in,# 6,15-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,BBQ Chicken (qty: 1) + Medium (৳299.00),,,299.00
016764,Completed,15-06-2026 08:27:31 PM,Default Outlet,Dine-in,# 3,15-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,BBQ Chicken (qty: 1) + Small (৳199.00) | Regular Pasta (qty: 1) | Fresh Water (qty: 1) | Soft Drinks (qty: 1),,,444.00
016763,Completed,15-06-2026 08:17:45 PM,Default Outlet,Delivery,# 5,15-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),,,199.00
016762,Completed,15-06-2026 07:38:02 PM,Default Outlet,Dine-in,# 2,15-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Chicken Pop (qty: 1) | Soft Drinks (qty: 3),,,225.00
016761,Completed,15-06-2026 07:29:21 PM,Default Outlet,Dine-in,# 1,15-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,BBQ Pizza 6&quot;+Chicken Pop 6 piece+ Wedges 6 Pieces (qty: 1) | Soft Drinks (qty: 2),,,449.00
016760,Completed,14-06-2026 09:54:14 PM,Default Outlet,Dine-in,# 12,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,"Two Flavour Mixed (qty: 1) + Medium (৳300.00) | Classic Meatball Pizza (qty: 1) + 12"" (৳665.00) | Fresh Water (qty: 1) | Soft Drinks (qty: 5)",Staff Discount,300.00,810.00
016759,Completed,14-06-2026 09:50:57 PM,Default Outlet,Dine-in,# 11,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,BBQ Chicken (qty: 1) + Small (৳199.00) | Naga Spicy Chicken (qty: 1) + Small (৳200.00) | Soft Drinks (qty: 1),,,424.00
016758,Completed,14-06-2026 09:19:59 PM,Default Outlet,Dine-in,# 10,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Pizza Italian (qty: 1) + Large (৳425.00) | Soft Drinks (qty: 2) | Chocolate Cold Coffee (qty: 2),,,635.00
